UKPRN,Institution name,Main panel,UOA number,UOA name,Multiple submission name,Joint submission,2013,2014,2015,2016,2017,2018,2019,Total,Average
10007783,University of Aberdeen,A,1,Clinical Medicine,,,56.57,43.49,42.84,49.76,43.01,53.32,33.3,322.29,46.041428571428575
10007783,University of Aberdeen,A,2,"Public Health, Health Services and Primary Care",,,5.53,1.33,6.0,3.66,1.83,9.33,2.53,30.21,4.315714285714286
10007783,University of Aberdeen,A,4,"Psychology, Psychiatry and Neuroscience",,,4.75,8.67,7.0,1.67,5.58,6.5,5.0,39.17,5.595714285714286
10007783,University of Aberdeen,A,5,Biological Sciences,,,13.82,17.74,13.33,12.26,14.7,9.04,17.37,98.25999999999999,14.037142857142856
10007783,University of Aberdeen,B,7,Earth Systems and Environmental Sciences,,,41.39,37.27,33.1,34.23,41.72,47.39,43.1,278.2,39.74285714285714
10007783,University of Aberdeen,B,8,Chemistry,,,13.03,9.0,5.5,8.3,5.5,11.45,16.2,68.98,9.854285714285714
10007783,University of Aberdeen,B,10,Mathematical Sciences,,,8.0,5.0,6.0,5.5,6.0,6.0,4.45,40.95,5.8500000000000005
10007783,University of Aberdeen,B,11,Computer Science and Informatics,,,2.0,10.67,7.05,3.9,2.33,6.4,6.9,39.24999999999999,5.607142857142856
10007783,University of Aberdeen,B,12,Engineering,,,14.25,13.5,16.45,18.7,16.15,20.28,21.15,120.48000000000002,17.211428571428574
10007783,University of Aberdeen,C,15,Archaeology,,,4.75,2.33,4.9,5.0,1.8,2.0,1.5,22.28,3.182857142857143
10007783,University of Aberdeen,C,17,Business and Management Studies,,,7.0,9.5,13.48,6.53,6.3,17.34,11.0,71.14999999999999,10.164285714285713
10007783,University of Aberdeen,C,18,Law,,,10.0,9.2,15.6,5.0,16.63,13.6,4.0,74.02999999999999,10.575714285714284
10007783,University of Aberdeen,C,19,Politics and International Studies,,,6.0,1.0,6.5,4.75,2.46,7.1,3.0,30.810000000000002,4.401428571428572
10007783,University of Aberdeen,C,21,Sociology,,,3.5,3.5,2.0,5.0,0.0,5.5,3.0,22.5,3.2142857142857144
10007783,University of Aberdeen,C,22,Anthropology and Development Studies,,,2.9,5.0,5.35,9.25,5.2,6.8,5.9,40.4,5.771428571428571
10007783,University of Aberdeen,C,23,Education,,,4.5,5.0,2.5,7.5,2.08,8.7,11.5,41.78,5.968571428571429
10007783,University of Aberdeen,D,26,Modern Languages and Linguistics,,,4.8,0.7,6.75,2.5,5.58,2.5,3.6,26.43,3.775714285714286
10007783,University of Aberdeen,D,27,English Language and Literature,,,9.7,11.0,4.0,7.0,8.8,10.8,6.5,57.8,8.257142857142856
10007783,University of Aberdeen,D,28,History,,,8.5,5.5,10.1,7.5,7.83,7.0,3.5,49.93,7.132857142857143
10007783,University of Aberdeen,D,30,Philosophy,,,1.0,4.5,4.9,0.5,4.8,1.0,0.0,16.7,2.3857142857142857
10007783,University of Aberdeen,D,31,Theology and Religious Studies,,,13.5,16.1,15.0,19.5,15.2,19.75,15.0,114.05,16.29285714285714
10007783,University of Aberdeen,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,2.5,1.0,1.65,0.0,3.5,5.2,4.5,18.35,2.6214285714285714
10007849,Abertay University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,1.0,1.5,5.0,0.5,2.5,1.5,3.0,15.0,2.142857142857143
10007849,Abertay University,A,4,"Psychology, Psychiatry and Neuroscience",,,1.0,1.5,1.5,0.0,2.0,0.0,1.0,7.0,1.0
10007849,Abertay University,A,6,"Agriculture, Food and Veterinary Sciences",,,3.5,1.0,3.0,0.5,0.0,3.0,0.5,11.5,1.6428571428571428
10007849,Abertay University,B,12,Engineering,,,7.0,4.0,6.5,6.0,1.5,3.0,5.5,33.5,4.785714285714286
10007849,Abertay University,C,18,Law,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.2857142857142857
10007849,Abertay University,C,21,Sociology,,,0.0,1.0,0.0,0.0,1.5,0.0,3.5,6.0,0.8571428571428571
10007849,Abertay University,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,0.0,0.0,1.0,2.0,1.5,0.5,0.0,5.0,0.7142857142857143
10007849,Abertay University,D,32,"Art and Design: History, Practice and Theory",,,2.5,0.0,1.0,3.0,1.0,2.0,1.5,11.0,1.5714285714285714
10007856,Aberystwyth University / Prifysgol Aberystwyth,A,4,"Psychology, Psychiatry and Neuroscience",,,0.0,0.0,0.0,1.0,1.0,1.5,1.0,4.5,0.6428571428571429
10007856,Aberystwyth University / Prifysgol Aberystwyth,A,6,"Agriculture, Food and Veterinary Sciences",,,19.0,19.5,24.0,17.0,15.5,22.0,26.5,143.5,20.5
10007856,Aberystwyth University / Prifysgol Aberystwyth,B,9,Physics,,,3.0,3.0,2.0,7.0,3.5,2.5,2.5,23.5,3.357142857142857
10007856,Aberystwyth University / Prifysgol Aberystwyth,B,10,Mathematical Sciences,,,1.0,0.0,4.0,0.0,4.0,0.5,2.0,11.5,1.6428571428571428
10007856,Aberystwyth University / Prifysgol Aberystwyth,B,11,Computer Science and Informatics,,,5.0,3.0,9.0,8.0,7.5,6.0,6.0,44.5,6.357142857142857
10007856,Aberystwyth University / Prifysgol Aberystwyth,C,14,Geography and Environmental Studies,,,8.0,8.5,7.0,10.0,12.0,6.5,9.0,61.0,8.714285714285714
10007856,Aberystwyth University / Prifysgol Aberystwyth,C,17,Business and Management Studies,,,3.0,5.0,6.0,8.0,3.0,7.0,4.0,36.0,5.142857142857143
10007856,Aberystwyth University / Prifysgol Aberystwyth,C,18,Law,,,4.0,5.0,5.0,5.0,1.0,1.0,1.0,22.0,3.142857142857143
10007856,Aberystwyth University / Prifysgol Aberystwyth,C,19,Politics and International Studies,,,7.0,12.0,10.0,7.0,9.5,13.5,2.0,61.0,8.714285714285714
10007856,Aberystwyth University / Prifysgol Aberystwyth,D,26,Modern Languages and Linguistics,,,3.0,1.0,5.0,2.0,1.0,2.0,1.5,15.5,2.2142857142857144
10007856,Aberystwyth University / Prifysgol Aberystwyth,D,27,English Language and Literature,,,7.0,6.0,12.0,12.0,7.0,5.2,6.0,55.2,7.885714285714286
10007856,Aberystwyth University / Prifysgol Aberystwyth,D,28,History,,,1.0,3.0,6.5,2.0,3.0,3.5,3.5,22.5,3.2142857142857144
10007856,Aberystwyth University / Prifysgol Aberystwyth,D,32,"Art and Design: History, Practice and Theory",,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,10.0,1.4285714285714286
10007856,Aberystwyth University / Prifysgol Aberystwyth,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,6.0,9.0,7.5,6.0,10.0,1.0,1.0,40.5,5.785714285714286
10000163,AECC University College,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10000291,Anglia Ruskin University Higher Education Corporation,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,3.0,8.0,7.0,6.0,19.0,10.0,16.0,69.0,9.857142857142858
10000291,Anglia Ruskin University Higher Education Corporation,A,4,"Psychology, Psychiatry and Neuroscience",,,3.0,1.0,2.0,2.0,0.0,5.0,2.0,15.0,2.142857142857143
10000291,Anglia Ruskin University Higher Education Corporation,B,12,Engineering,,,4.0,2.0,4.0,4.0,7.0,9.0,4.0,34.0,4.857142857142857
10000291,Anglia Ruskin University Higher Education Corporation,C,13,"Architecture, Built Environment and Planning",,,0.0,2.0,1.0,6.0,5.0,0.0,3.0,17.0,2.4285714285714284
10000291,Anglia Ruskin University Higher Education Corporation,C,14,Geography and Environmental Studies,,,1.0,0.0,1.0,2.0,4.0,1.0,5.0,14.0,2.0
10000291,Anglia Ruskin University Higher Education Corporation,C,17,Business and Management Studies,,,3.0,5.0,6.0,15.0,18.0,7.0,13.0,67.0,9.571428571428571
10000291,Anglia Ruskin University Higher Education Corporation,C,18,Law,,,2.0,2.0,2.0,4.0,3.0,2.0,6.0,21.0,3.0
10000291,Anglia Ruskin University Higher Education Corporation,C,20,Social Work and Social Policy,,,6.0,1.0,3.0,3.0,8.0,3.0,6.0,30.0,4.285714285714286
10000291,Anglia Ruskin University Higher Education Corporation,C,21,Sociology,,,1.0,2.0,2.0,0.0,4.0,1.0,8.0,18.0,2.5714285714285716
10000291,Anglia Ruskin University Higher Education Corporation,C,23,Education,,,5.0,6.0,4.0,7.0,5.0,7.0,2.0,36.0,5.142857142857143
10000291,Anglia Ruskin University Higher Education Corporation,C,24,"Sport and Exercise Sciences, Leisure and Tourism",,,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,0.7142857142857143
10000291,Anglia Ruskin University Higher Education Corporation,D,27,English Language and Literature,,,1.0,5.0,3.0,12.0,4.0,5.0,7.0,37.0,5.285714285714286
10000291,Anglia Ruskin University Higher Education Corporation,D,28,History,,,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,0.7142857142857143
10000291,Anglia Ruskin University Higher Education Corporation,D,32,"Art and Design: History, Practice and Theory",,,1.0,4.0,2.0,3.0,2.0,1.0,3.0,16.0,2.2857142857142856
10000291,Anglia Ruskin University Higher Education Corporation,D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,4.0,3.0,2.0,4.0,4.0,2.0,2.0,21.0,3.0
10000291,Anglia Ruskin University Higher Education Corporation,D,34,"Communication, Cultural and Media Studies, Library and Information Management",,,0.0,0.0,4.0,2.0,2.0,4.0,2.0,14.0,2.0
10000385,"Arts University Bournemouth, the",D,32,"Art and Design: History, Practice and Theory",,,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.42857142857142855
10000385,"Arts University Bournemouth, the",D,33,"Music, Drama, Dance, Performing Arts, Film and Screen Studies",,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285
10007162,"University of the Arts, London",D,32,"Art and Design: History, Practice and Theory",,,8.0,18.0,26.0,24.0,37.0,22.0,28.0,163.0,23.285714285714285
10007759,Aston University,A,3,"Allied Health Professions, Dentistry, Nursing and Pharmacy",,,27.33,28.55,27.75,33.0,27.99,26.07,34.92,205.61,29.372857142857146
10007759,Aston University,B,11,Computer Science and Informatics,,,1.67,3.91,4.99,3.67,2.67,4.0,2.67,23.58,3.3685714285714283
10007759,Aston University,B,12,Engineering,,,19.0,19.34,23.51,11.0,34.34,16.93,14.66,138.78,19.825714285714287
10007759,Aston University,C,17,Business and Management Studies,,,17.0,14.2,27.0,22.33,16.5,18.0,13.75,128.78,18.397142857142857
10007759,Aston University,C,21,Sociology,,,1.0,0.5,1.75,2.5,0.5,2.0,0.0,8.25,1.1785714285714286
