Institution name,Region
University of Aberdeen,Scotland
Abertay University,Scotland
Aberystwyth University / Prifysgol Aberystwyth,Wales
AECC University College,South West
Anglia Ruskin University Higher Education Corporation,East of England
"Arts University Bournemouth, the",South West
"University of the Arts, London",London
Aston University,West Midlands
Bangor University / Prifysgol Bangor,Wales
The University of Bath,South West
Bath Spa University,South West
University of Bedfordshire,East of England
Birkbeck College,London
The University of Birmingham,West Midlands
Birmingham City University,West Midlands
Bishop Grosseteste University,East Midlands
The University of Bolton,North West
Bournemouth University,South West
The University of Bradford,Yorkshire and The Humber
University of Brighton,South East
University of Bristol,South West
Brunel University London,London
Buckinghamshire New University,South East
University of Cambridge,East of England
Canterbury Christ Church University,South East
Cardiff Metropolitan University / Prifysgol Metropolitan Caerdydd,Wales
Cardiff University / Prifysgol Caerdydd,Wales
University of Central Lancashire,North West
University of Chester,North West
The University of Chichester,South East
"City, University of London",London
Courtauld Institute of Art,London
Coventry University,West Midlands
Cranfield University,East of England
The University of Cumbria,North West
De Montfort University,East Midlands
University of Derby,East Midlands
University of Dundee,Scotland
University of Durham,North East
The University of East Anglia,London
University of East London,London
Edge Hill University,North West
University of Edinburgh,Scotland
Edinburgh Napier University,Scotland
The University of Essex,East of England
University of Exeter,South West
Falmouth University,South West
University of Glasgow,Scotland
Glasgow Caledonian University,Scotland
Glasgow School of Art,Scotland
University of Gloucestershire,South West
Wrexham Glynd?r University / Prifysgol Glynd?r Wrecsam,Wales
Goldsmiths' College,London
University of Greenwich,London
Guildhall School of Music & Drama,London
Harper Adams University,West Midlands
Hartpury University,South West
Heriot-Watt University,Scotland
University of Hertfordshire,East of England
University of the Highlands and Islands,Scotland
The University of Huddersfield,Yorkshire and The Humber
The University of Hull,Yorkshire and The Humber
"Imperial College of Science, Technology and Medicine",London
Institute of Cancer Research: Royal Cancer Hospital (The),London
Institute of Zoology,London
University of Keele,West Midlands
The University of Kent,South East
King's College London,London
Kingston University,London
The University of Lancaster,North West
The University of Leeds,Yorkshire and The Humber
Leeds Arts University,Yorkshire and The Humber
Leeds Beckett University,Yorkshire and The Humber
Leeds Trinity University,Yorkshire and The Humber
The University of Leicester,East Midlands
University of Lincoln,East Midlands
The University of Liverpool,North West
Liverpool Hope University,North West
Liverpool John Moores University,North West
Liverpool School of Tropical Medicine,North West
London Business School,London
London Metropolitan University,London
The London School of Economics and Political Science,London
London School of Hygiene and Tropical Medicine,London
London South Bank University,London
Loughborough University,East Midlands
The University of Manchester,North West
Manchester Metropolitan University,North West
The Metanoia Institute,London
Middlesex University,London
University of Newcastle upon Tyne,North East
Newman University,West Midlands
"University of Northampton, The",East Midlands
University of Northumbria at Newcastle,North East
Norwich University of the Arts,East of England
Nottingham Trent University,East Midlands
"University of Nottingham, The",East Midlands
The Open University,South East
University of Oxford,South East
Oxford Brookes University,South East
University of Plymouth,South West
University of Portsmouth,South East
"Queen Margaret University, Edinburgh",Scotland
Queen Mary University of London,London
Queen's University of Belfast,Northern Ireland
Ravensbourne University London,London
The University of Reading,South East
Robert Gordon University,Scotland
Roehampton University,London
Rose Bruford College of Theatre and Performance,London
The Royal Academy of Music,London
The Royal Agricultural University,South West
The Royal Central School of Speech and Drama,London
Royal College of Art(The),London
Royal College of Music,London
Royal Conservatoire of Scotland,Scotland
Royal Holloway and Bedford New College,South East
Royal Northern College of Music,North West
The Royal Veterinary College,London
"University of Salford, The",North West
School of Oriental and African Studies,London
The University of Sheffield,Yorkshire and The Humber
Sheffield Hallam University,Yorkshire and The Humber
"Solent University, Southampton",South East
University of South Wales / Prifysgol De Cymru,Wales
University of Southampton,South East
SRUC,Scotland
University of St Andrews,Scotland
University of St Mark & St John,South West
"St Mary's University, Twickenham",London
St. George's Hospital Medical School,London
Staffordshire University,West Midlands
University of Stirling,Scotland
Stranmillis University College,Northern Ireland
University of Strathclyde,Scotland
University of Suffolk,East of England
University of Sunderland,North East
The University of Surrey,South East
University of Sussex,South East
Swansea University / Prifysgol Abertawe,Wales
Teesside University,North East
Trinity Laban Conservatoire of Music and Dance,London
University of Wales Trinity Saint David / Prifysgol Cymru Y Drindod Dewi Sant,Wales
University of Ulster,Northern Ireland
University College London,London
University College of Osteopathy (The),London
University for the Creative Arts,South East
The University of Warwick,West Midlands
The University of West London,London
"University of the West of England, Bristol",South West
University of the West of Scotland,London
The University of Westminster,London
University of Winchester,South East
University of Wolverhampton,West Midlands
University of Worcester,West Midlands
University of York,Yorkshire and The Humber
York St John University,Yorkshire and The Humber
